denominazione_regione,data,mean,median,mode,lower_90,upper_90,lower_50,upper_50
Piemonte,2020-06-13,0.806600935359351,0.8069736548346824,0.8250000000000001,0.8256951859214587,0.830424835370178,0.7978332269176998,0.830424835370178
Piemonte,2020-06-14,0.8106529118139846,0.8096401168635424,0.805,0.8010118985282144,0.805852453589853,0.7897067931305254,0.8245164128787654
Piemonte,2020-06-15,0.8138607670349565,0.8115825636479248,0.805,0.8320383982754198,0.8360936804989326,0.7929461002272361,0.8243519951770757
Piemonte,2020-06-16,0.8171989391361716,0.8155987129019413,0.8150000000000001,0.8141763153559316,0.8167205649082772,0.8011922821518109,0.8327570182076375
Piemonte,2020-06-17,0.8196436701597666,0.8199602105530036,0.8150000000000001,0.8104383967271854,0.8144989871107936,0.8057764807190656,0.8386108204241016
Piemonte,2020-06-18,0.8264485316981033,0.8245384699753964,0.8250000000000001,0.8146733525868143,0.8186850940605814,0.8099127120424151,0.8406810651600106
Piemonte,2020-06-19,0.8314809508534601,0.8331712462111793,0.8350000000000001,0.8434792895589904,0.8478202944447717,0.8179184287596984,0.8478202944447717
Piemonte,2020-06-20,0.8374733542879531,0.8350225331600409,0.8250000000000001,0.8295517440861638,0.8337158984004857,0.821758419430086,0.852530595131145
Piemonte,2020-06-21,0.8444645558751809,0.8437245451151412,0.845,0.8354368993242051,0.8402406664571224,0.8341643351525636,0.8666517637983179
Piemonte,2020-06-22,0.8536912314000223,0.8530045595728324,0.855,0.8367353349687046,0.8405341805924728,0.8313061482113866,0.860295259655846
Piemonte,2020-06-23,0.8615222450613826,0.8595763085997802,0.855,0.8517223701473394,0.8555013299848873,0.8444736769053021,0.8743141482295341
Piemonte,2020-06-24,0.871769163042299,0.8708020084595943,0.875,0.8611247907209765,0.8652114120324043,0.8558500933109829,0.8900766507347473
Piemonte,2020-06-25,0.8826217607809425,0.8795854356786836,0.875,0.872979362315418,0.8774134645871536,0.8486532683165922,0.8866010394614039
Piemonte,2020-06-26,0.8945902254601178,0.8939477862497438,0.905,0.8880009450898401,0.892286458824957,0.8755318440274851,0.9085055888491087
Piemonte,2020-06-27,0.9071441574449248,0.9058639463416389,0.925,0.9229303071855964,0.9274477657206743,0.8904968924441214,0.9283185124666498
Piemonte,2020-06-28,0.9205621656423094,0.9227575037615314,0.925,0.9225231103511212,0.9266165865266762,0.9025111800984977,0.9381183694030502
Piemonte,2020-06-29,0.9373085615782497,0.9362602431426673,0.935,0.91827565492443,0.9242071569403268,0.9158720874279173,0.9575818358893077
Piemonte,2020-06-30,0.9560374815556436,0.9539426023086188,0.9550000000000001,0.948010940018514,0.9533456366022792,0.9289934832754695,0.9669445901712388
Piemonte,2020-07-01,0.9754265477368108,0.9763370653784514,0.985,0.9764770006220667,0.9828854053350314,0.9481189061803879,0.9910365335324393
Piemonte,2020-07-02,0.9933722278518256,0.9943249282502371,1.025,1.0093937913216706,1.0155814335603517,0.9717037771370065,1.0174252184125803
Piemonte,2020-07-03,1.016317908901149,1.0160738275710848,1.005,1.0226423573098173,1.0271754936169262,0.9923454349277921,1.0311846434741543
Piemonte,2020-07-04,1.040453751587893,1.0387804456442242,1.035,1.0348473529422249,1.0382384995950835,1.0257765944001345,1.0618880787328249
Piemonte,2020-07-05,1.0656593445552942,1.0666167841197343,1.065,1.073037678427087,1.0782921742651874,1.0380599928438667,1.0782921742651874
Piemonte,2020-07-06,1.09192282455595,1.091164421977091,1.085,1.0701836952015613,1.0763918196637636,1.0701836952015613,1.1103773602490454
Piemonte,2020-07-07,1.1183681723722552,1.1201627213053382,1.125,1.1228114158527642,1.1283541606875729,1.0984586870879978,1.1429839443640817
Piemonte,2020-07-08,1.1410475858877,1.1438166378171046,1.155,1.1518069077910664,1.1572403732980636,1.119652118328027,1.1639351956546438
Piemonte,2020-07-09,1.1665168095432592,1.1643678233437162,1.1649999999999998,1.1454249668581127,1.1530572314472982,1.138392786485742,1.19058869320533
Piemonte,2020-07-10,1.189294421270204,1.186280431665537,1.1849999999999998,1.2186813573486204,1.2249688829721652,1.1676262388668917,1.222731462864617
Piemonte,2020-07-11,1.212418558813275,1.2111738596635107,1.255,1.2523971835315595,1.2600444224114016,1.1804000111833253,1.235544628575139
Piemonte,2020-07-12,1.2373111157570127,1.2390206044457877,1.2249999999999999,1.2258254026050703,1.2315421566663132,1.2153551289167828,1.2641156833460336
Piemonte,2020-07-13,1.2585996429251765,1.2609188252264798,1.275,1.2717085724541453,1.2781469877882277,1.2425772705579186,1.2911649205642552
Piemonte,2020-07-14,1.2776309363813347,1.280719249041232,1.295,1.293752535216524,1.3002525369539457,1.2603700198829049,1.3122381194231592
Piemonte,2020-07-15,1.291058025362979,1.2888338982746237,1.285,1.2829978790984862,1.2881408903371363,1.274324282845613,1.3280838076140562
Piemonte,2020-07-16,1.3042556750636825,1.3006342201256915,1.335,1.2948223992849888,1.3022335863578574,1.2510553243130789,1.3108763791004576
Piemonte,2020-07-17,1.3196972398830886,1.3178075897172592,1.355,1.3491690379490755,1.3542692924834472,1.2879148273249683,1.3542692924834472
Piemonte,2020-07-18,1.3339334567204264,1.335728003947594,1.315,1.346229086857933,1.3538017950233723,1.3104661442832113,1.3736691556109506
Piemonte,2020-07-19,1.3454683218038304,1.3468271299345957,1.345,1.3415792531040032,1.3488610078497831,1.3268713027436176,1.3776129059334772
Piemonte,2020-07-20,1.354872863090746,1.350779537471079,1.345,1.3361473369559254,1.3419265446684008,1.3351776815865857,1.3871536933632889
Piemonte,2020-07-21,1.3613097449705993,1.364964696678761,1.365,1.368287509178437,1.3735849810591674,1.341651631134675,1.3952095927117332
Piemonte,2020-07-22,1.364608015361203,1.3645209511983232,1.325,1.3234709206631423,1.3310145182155364,1.3183293615240292,1.3740379290065405
Piemonte,2020-07-23,1.3635942676970065,1.3649195823742541,1.375,1.371814222881465,1.37710562888914,1.332672730372682,1.3824387018354587
Piemonte,2020-07-24,1.3612396285325181,1.353252384394108,1.315,1.3749503813801212,1.3827156155987725,1.3247638819187006,1.3827156155987725
Piemonte,2020-07-25,1.3570534079631165,1.355813490240577,1.385,1.380114819350476,1.3854170924538236,1.3377405360178833,1.3926127554968146
Piemonte,2020-07-26,1.3554191189778886,1.3543747311604961,1.375,1.3371626183708671,1.3444204813228797,1.3182557326629323,1.3739730217978028
Piemonte,2020-07-27,1.3477373964809785,1.3451365439990124,1.345,1.3398316801349957,1.345958450740659,1.3213650525744538,1.3739973276493946
Piemonte,2020-07-28,1.3390076509585458,1.3395475802030323,1.335,1.356648744380275,1.3613694430986916,1.3215746746507382,1.3689585139883707
Piemonte,2020-07-29,1.3297856956418654,1.328957170869901,1.325,1.3253830925217494,1.3299431792894671,1.295338214067493,1.3489537306316377
Piemonte,2020-07-30,1.317444800805533,1.3129435058976466,1.295,1.3012960327921328,1.309058221506898,1.2874690922528849,1.3487249493282865
Piemonte,2020-07-31,1.30483338020546,1.3056737644369265,1.315,1.3163988862425093,1.3251623511348294,1.280258546234192,1.3362684539509786
Piemonte,2020-08-01,1.2949419080790114,1.296591185065013,1.305,1.303148552270625,1.3096730580116243,1.2632207645107096,1.3135476865960367
Piemonte,2020-08-02,1.2858099629605604,1.2855131166211065,1.285,1.2885986761883272,1.2938935764481063,1.2668781443182975,1.309906799885624
Piemonte,2020-08-03,1.277754823852164,1.2755659449597827,1.265,1.2684571299723646,1.2739074115995686,1.2600358865639958,1.3014477216172966
Piemonte,2020-08-04,1.2669280863157406,1.265508746423332,1.265,1.285203645986157,1.2905158450978416,1.2503654110038196,1.295820087520354
Piemonte,2020-08-05,1.256355393592788,1.2578977160097327,1.255,1.2523449433599163,1.2573693659333829,1.2398902718804488,1.2792610998607632
Piemonte,2020-08-06,1.248803004281135,1.2475124520788643,1.2449999999999999,1.241631135033821,1.2476034512903826,1.227695823726839,1.2744302708150115
Piemonte,2020-08-07,1.2375318900610388,1.240152692529366,1.2449999999999999,1.2397543388552459,1.2451527525597297,1.2162941140215937,1.2606726928087373
Piemonte,2020-08-08,1.225114579354915,1.2243583552060338,1.2349999999999999,1.2310768100846698,1.2359829712175365,1.2035546535979273,1.2458514307334334
Piemonte,2020-08-09,1.214740555467753,1.2121625826385454,1.2049999999999998,1.221593719196985,1.2258341694129782,1.1947958262606666,1.2278108628126732
